0.01	2	2	1.0
0.01	1	2	nan
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	nan
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	0	2	nan
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	nan
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	2	2	1.0
0.01	1	2	0.5024875621890548
0.01	2	2	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.9901960784313726
0.02	4	5	0.9901960784313726
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.9901960784313726
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.6688741721854305
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	5	5	1.0
0.02	4	5	0.9901960784313726
0.02	5	5	1.0
